Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
712342, -9.63, -0.1, -0.1, -0.21, -0.21, -0.21, 29.56, 0
712532, -9.69, -0.1, -0.1, -0.11, -0.11, -0.11, 29.51, 0
712749, -9.62, -0.1, -0.1, -0.17, -0.17, -0.17, 29.56, 0
712944, -9.65, -0.1, -0.1, -0.14, -0.14, -0.14, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
713289, -9.68, -0.1, -0.1, -0.2, -0.2, -0.2, 29.51, 0
713478, -9.67, -0.1, -0.1, -0.2, -0.2, -0.2, 29.56, 0
713697, -9.61, -0.1, -0.1, -0.23, -0.23, -0.23, 29.56, 0
713892, -9.58, -0.1, -0.1, -0.15, -0.15, -0.15, 29.47, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
714237, -9.65, -0.1, -0.1, -0.22, -0.22, -0.22, 29.61, 0
714426, -9.63, -0.1, -0.1, -0.24, -0.24, -0.24, 29.61, 0
714566, -9.65, -0.1, -0.1, -0.1, -0.1, -0.1, 29.61, 0
714767, -9.63, -0.1, -0.1, -0.23, -0.23, -0.23, 29.47, 0
714956, -9.63, -0.1, -0.1, -0.11, -0.11, -0.11, 29.37, 0
715151, -9.67, -0.1, -0.1, -0.17, -0.17, -0.17, 29.47, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
715495, -9.67, -0.1, -0.1, -0.09, -0.09, -0.09, 29.56, 0
715683, -9.6, -0.1, -0.1, -0.09, -0.09, -0.09, 29.51, 0
715884, -9.62, -0.1, -0.1, -0.16, -0.16, -0.16, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
716229, -9.64, -0.1, -0.1, -0.11, -0.11, -0.11, 29.47, 0
716418, -9.63, -0.1, -0.1, -0.13, -0.13, -0.13, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
716836, -9.6, -0.1, -0.1, -0.12, -0.12, -0.12, 29.51, 0
717037, -9.6, -0.1, -0.1, -0.12, -0.12, -0.12, 29.51, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
717382, -9.64, -0.1, -0.1, -0.15, -0.15, -0.15, 29.56, 0
717573, -9.61, -0.1, -0.1, -0.11, -0.11, -0.11, 29.47, 0
717768, -9.63, -0.1, -0.1, -0.2, -0.2, -0.2, 29.47, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
718113, -9.6, -0.1, -0.1, -0.12, -0.12, -0.12, 29.51, 0
718302, -9.62, -0.1, -0.1, -0.16, -0.16, -0.16, 29.61, 0
718519, -9.63, -0.1, -0.1, -0.13, -0.13, -0.13, 29.47, 0
718715, -9.65, -0.1, -0.1, -0.08, -0.08, -0.08, 29.47, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
719060, -9.59, -0.1, -0.1, -0.09, -0.09, -0.09, 29.51, 0
